Wo arbeiten Sie?,Where do you work?,,lang/de_lessons/audio/wo_arbeiten_sie.mp3
Was machen Sie beruflich?,What do you do?,,lang/de_lessons/audio/was_machen_sie_beruflich.mp3
Was ist Ihr Beruf?,What's your occupation?,,lang/de_lessons/audio/was_ist_ihr_beruf.mp3
Arbeiten Sie?,Do you work?,,lang/de_lessons/audio/arbeiten_sie.mp3
Studieren Sie?,Do you study?,,lang/de_lessons/audio/studieren_sie.mp3
Ich bin selbstständig,I’m self-employed,,lang/de_lessons/audio/ich_bin_selbstständig.mp3
Ich bin arbeitslos,I'm unemployed,,lang/de_lessons/audio/ich_bin_arbeitslos.mp3
Ich bin an der Universität,I'm at university,,lang/de_lessons/audio/ich_bin_an_der_universität.mp3
Ich bin im Ruhestand,I'm retired,,lang/de_lessons/audio/ich_bin_im_ruhestand.mp3
Ich reise,I'm travelling,,lang/de_lessons/audio/ich_reise.mp3
Ich arbeite zu Hause,I work from home,,lang/de_lessons/audio/ich_arbeite_zu_hause.mp3
Ich habe eine Teilzeitbeschäftigung,I work part-time,,lang/de_lessons/audio/ich_habe_eine_teilzeitbeschäftigung.mp3
Ich habe eine Vollzeitbeschäftigung,I work part-time,,lang/de_lessons/audio/ich_habe_eine_vollzeitbeschäftigung.mp3
Ich arbeite als,I work as a,,lang/de_lessons/audio/ich_arbeite_als.mp3
Ich arbeite bei,I work at,,lang/de_lessons/audio/ich_arbeite_bei.mp3
